id,Student_id,Stream,Course_year,Campus
,15244038,ING2,2012/2013,CERGY
,15244038,ING3,2012/2013,CERGY
,7646361,IERP,2012/2013,CERGY
,7646361,ING2,2012/2013,CERGY
,7646361,ING3,2012/2013,CERGY
,89969563,IFI,2012/2013,CERGY
,89969563,ING3,2012/2013,CERGY
,94839181,ICOM,2012/2013,CERGY
,94839181,ING2,2012/2013,CERGY
,94839181,ING3,2012/2013,CERGY
,79800348,ING3,2012/2013,CERGY
,79800348,ING3,2012/2013,CERGY
,38932351,ING3,2012/2013,CERGY
,38932351,ING2,2012/2013,CERGY
,38932351,ING3,2012/2013,CERGY
,9248107,IFI,2012/2013,CERGY
,9248107,ING3,2012/2013,CERGY
,3686681,IERP,2012/2013,PAU
,3686681,ING2,2012/2013,PAU
,3686681,ING3,2012/2013,PAU
,99568552,ING3,2012/2013,CERGY
,99568552,ING2,2012/2013,CERGY
,99568552,ING3,2012/2013,CERGY
,40322167,ICOM,2012/2013,CERGY
,40322167,ING2,2012/2013,CERGY
,40322167,ING3,2012/2013,CERGY
,83414932,VISUAL,2012/2013,CERGY
,83414932,ING3,2012/2013,CERGY
,53799202,ICOM,2012/2013,CERGY
,53799202,ING2,2012/2013,CERGY
,53799202,ING3,2012/2013,CERGY
,36995246,ING3,2012/2013,CERGY
,36995246,ING3,2012/2013,CERGY
,90778239,IERP,2012/2013,PAU
,90778239,ING2,2012/2013,PAU
,90778239,ING3,2012/2013,PAU
,87340443,ING3,2012/2013,CERGY
,87340443,ING2,2012/2013,CERGY
,87340443,ING3,2012/2013,CERGY
,85499250,ING3,2012/2013,CERGY
,85499250,ING3,2012/2013,CERGY
,67246423,ICOM,2012/2013,CERGY
,67246423,ING2,2012/2013,CERGY
,67246423,ING3,2012/2013,CERGY
,23857708,VISUAL,2012/2013,CERGY
,23857708,ING3,2012/2013,CERGY
,72008971,ING3,2012/2013,CERGY
,72008971,ING3,2012/2013,CERGY
,6725228,GL,2012/2013,CERGY
,6725228,ING3,2012/2013,CERGY
,27789105,VISUAL,2012/2013,CERGY
,27789105,ING3,2012/2013,CERGY
,60995330,IFI,2012/2013,CERGY
,60995330,ING3,2012/2013,CERGY
,68071282,IMSI,2012/2013,CERGY
,68071282,ING3,2012/2013,CERGY
,41683914,IERP,2012/2013,CERGY
,41683914,ING2,2012/2013,CERGY
,41683914,ING3,2012/2013,CERGY
,26228498,ING3,2012/2013,CERGY
,26228498,ING2,2012/2013,CERGY
,26228498,ING3,2012/2013,CERGY
,69349457,IFI,2012/2013,CERGY
,69349457,ING3,2012/2013,CERGY
,62378645,IFI,2012/2013,CERGY
,62378645,ING3,2012/2013,CERGY
,92970481,VISUAL,2012/2013,CERGY
,92970481,ING3,2012/2013,CERGY
,21571461,ICC,2012/2013,PAU
,21571461,ING3,2012/2013,PAU
